,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-258639000.0,0.0,0.0,-51975000.0
Tax Rate For Calcs,0.219,0.207,0.231,0.225
Total Unusual Items,-1181000000.0,-470000000.0,-456000000.0,-231000000.0
Total Unusual Items Excluding Goodwill,-1181000000.0,-470000000.0,-456000000.0,-231000000.0
Net Income From Continuing Operation Net Minority Interest,9087000000.0,11029000000.0,15034000000.0,10996000000.0
Reconciled Depreciation,4256000000.0,3998000000.0,4216000000.0,3769000000.0
Net Interest Income,8230000000.0,9327000000.0,8045000000.0,6313000000.0
Interest Expense,42051000000.0,12268000000.0,1366000000.0,3849000000.0
Interest Income,50281000000.0,21595000000.0,9411000000.0,10162000000.0
Normalized Income,10009361000.0,11029000000.0,15034000000.0,11175025000.0
Net Income From Continuing And Discontinued Operation,9087000000.0,11029000000.0,15034000000.0,10996000000.0
Diluted Average Shares,1646000000.0,1713000000.0,1814000000.0,1624000000.0
Basic Average Shares,1628000000.0,1691000000.0,1785000000.0,1603000000.0
Diluted EPS,5.18,6.15,8.03,6.46
Basic EPS,5.24,6.23,8.16,6.55
Diluted NI Availto Com Stockholders,8530000000.0,10540000000.0,14566000000.0,10500000000.0
Net Income Common Stockholders,8530000000.0,10540000000.0,14566000000.0,10500000000.0
Preferred Stock Dividends,557000000.0,489000000.0,468000000.0,496000000.0
Net Income,9087000000.0,11029000000.0,15034000000.0,10996000000.0
Minority Interests,-143000000.0,-150000000.0,-86000000.0,-183000000.0
Net Income Including Noncontrolling Interests,9230000000.0,11179000000.0,15120000000.0,11179000000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,9230000000.0,11179000000.0,15120000000.0,11179000000.0
Tax Provision,2583000000.0,2910000000.0,4548000000.0,3239000000.0
Pretax Income,11813000000.0,14089000000.0,19668000000.0,14418000000.0
Special Income Charges,-1181000000.0,-470000000.0,-456000000.0,-231000000.0
Other Special Charges,535000000.0,,,
Restructuring And Mergern Acquisition,646000000.0,470000000.0,456000000.0,231000000.0
Gain On Sale Of Security,573000000.0,15000000.0,1376000000.0,986000000.0
Selling General And Administration,25103000000.0,23958000000.0,25271000000.0,21137000000.0
Selling And Marketing Expense,898000000.0,905000000.0,643000000.0,434000000.0
General And Administrative Expense,24205000000.0,23053000000.0,24628000000.0,20703000000.0
Other Gand A,,,,2465000000.0
Salaries And Wages,24205000000.0,23053000000.0,24628000000.0,20703000000.0
Total Revenue,50667000000.0,50210000000.0,56414000000.0,45828000000.0
Operating Revenue,50667000000.0,50210000000.0,56414000000.0,45828000000.0
Occupancy And Equipment,1895000000.0,1729000000.0,1725000000.0,1559000000.0
Professional Expense And Contract Services Expense,3058000000.0,3070000000.0,2933000000.0,2205000000.0
Other Non Interest Expense,7085000000.0,7084000000.0,6813000000.0,5517000000.0
